TYPE,ADULT_JUVENILE,YEAR,DATETIME,CCN,AGE,OFFENSE_DISTRICT,OFFENSE_PSA,OFFENSE_BLOCKX,OFFENSE_BLOCKY,DEFENDANT_PSA,DEFENDANT_DISTRICT,RACE,ETHNICITY,SEX,CATEGORY,DESCRIPTION,ADDRESS,ARREST_BLOCKX,ARREST_BLOCKY,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,GLOBALID
Possession,Adult,2012,2012/01/07 19:20:00+00,b'aQ\x04\x93K\xf9J',23,6D,601,404500,137300,,,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3700 BLOCK OF HAYES ST NE,404500,137300,MARIJUANA_ARRESTS_66,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12546,{5721468B-F755-437B-AD47-747051414C97}
Possession,Adult,2012,2012/01/07 20:10:00+00,"b'/\xda5xh""\x91'",18,6D,608,406600,136200,608,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,54TH ST NE,,,MARIJUANA_ARRESTS_67,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12547,{12FBAF88-3E20-445B-9DDA-D85D07C3E1F7}
Possession,Adult,2012,2012/01/07 20:10:00+00,b'\xa8f4\xf3j\x96\xad',44,5D,506,401400,138000,,,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1200 BLOCK OF MT OLIVET RD NE,401400,138000,MARIJUANA_ARRESTS_68,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12548,{394DFC6A-81F6-4E28-BDDF-29DC0A5F0771}
Distribution,Adult,2012,2012/01/07 20:17:00+00,b'\xd7\x9b\x83\x0f2\xaf%',24,6D,604,405500,135500,602,6D,B ,U ,F,Narcotics,Ucsa Distributing Marijuana,4600 BLOCK OF BENNING RD SE,405500,135500,MARIJUANA_ARRESTS_69,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12549,{4854F923-08C0-4504-8D26-C384B78B19D1}
Possession,Adult,2012,2012/01/07 20:20:00+00,b'D\x8eXz\xc7qH',35,5D,507,401600,136800,507,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1500 BLOCK OF BENNING RD NE SALLEY,401600,136900,MARIJUANA_ARRESTS_70,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12550,{F88E408A-FCC1-4B58-A0C0-7C55ADC79D18}
Possession,Adult,2012,2012/01/07 21:25:00+00,b'\xe6\x86\xfcif\x81a',44,5D,505,401500,139300,707,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2300 BLOCK OF 15TH ST NE,401500,139200,MARIJUANA_ARRESTS_71,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12551,{674024D0-994C-4BEA-AF85-52E6AA230C71}
Possession,Adult,2012,2012/01/07 21:50:00+00,b'p\x1b\x98\x82|B3',22,3D,307,397600,138300,405,4D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,11TH / R ST NW,,,MARIJUANA_ARRESTS_72,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12552,{7E260B72-B312-4207-9794-DF481F8C4AF9}
Possession,Adult,2012,2012/01/07 22:55:00+00,b'\x13\x87N\x99\xe1\xaa+',33,3D,305,397900,138500,604,6D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1800 BLOCK OF 9TH ST NW,397900,138500,MARIJUANA_ARRESTS_73,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12553,{FB6BB81A-7165-44D7-B62F-E8BDDBA14135}
Possession,Adult,2012,2012/01/07 23:20:00+00,b'\xf8\x01\x1e\xa2\xbe\x9a\xe9',18,1D,103,398800,136500,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2ND ST NW,398600,138500,MARIJUANA_ARRESTS_74,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12554,{C7EBB1E5-A785-4C6E-B165-DFBBC7AE7D0F}
Possession,Adult,2012,2012/01/07 23:55:00+00,b'\x88tfG\x8d\x8c\x06',46,6D,608,406400,135900,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,5300 BLOCK OF AMES ST NE,406400,135900,MARIJUANA_ARRESTS_75,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12555,{6774E3E9-F3CD-46DE-AF9E-8AD870AAA477}
Distribution,Juvenile,2012,2012/01/07 05:00:00+00,,,1D,105,,,501,5D,,,,Narcotics,Ucsa Distributing Marijuana,,,,MARIJUANA_ARRESTS_76,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12556,{02EFCD74-6E32-4CB9-809F-1EA1DF4C332F}
Distribution,Juvenile,2012,2012/01/07 05:00:00+00,,,1D,105,,,501,5D,,,,Narcotics,Ucsa Distributing Marijuana,,,,MARIJUANA_ARRESTS_77,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12557,{3C8A9F29-F57D-477A-9DF0-581746DF571A}
Possession,Adult,2012,2012/01/08 12:30:00+00,b'F\xf9n\xc4\x1e\xa5\x80',26,5D,506,401700,138800,306,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1600 BLOCK OF NEW YORK AVE NE,401700,138800,MARIJUANA_ARRESTS_78,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12558,{21F7A51A-8D6F-4D66-9C85-E0AA35A25D38}
Possession,Adult,2012,2012/01/08 20:42:00+00,b'\xba\xaa\xa7^\x15\xfbw',21,3D,303,396700,139800,,,U,H ,M,Narcotics,Ucsa Possession Marijuana,1600 BLOCK OF COLUMBIA RD NW,396700,139800,MARIJUANA_ARRESTS_79,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12559,{788F1664-F52D-49EB-8005-F879807DD931}
Possession,Adult,2012,2012/01/09 00:15:00+00,b'M\x13\xb2N)\x1c}',22,4D,405,399700,143000,405,4D,W ,N ,M,Narcotics,Ucsa Possession Marijuana,CRITTENDEN,,,MARIJUANA_ARRESTS_80,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12560,{639EE0C9-03CA-4428-A876-F08DC3EC00EE}
Possession,Adult,2012,2012/01/09 00:20:00+00,b'R\xd1\xe6\x8c\xc9z\xa6',19,7D,706,400800,129900,706,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,900 BLOCK OF VALLEY AVE SE,400800,129900,MARIJUANA_ARRESTS_81,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12561,{8FDF295B-D240-442E-BB12-F30465FC4A29}
Possession,Adult,2012,2012/01/09 00:55:00+00,b'\xc4\xf9w\xf9pr\xe3',27,4D,405,400500,141000,405,4D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,3700 BLOCK OF 10TH ST NE,400500,141000,MARIJUANA_ARRESTS_82,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12562,{C0125A65-B73A-4D96-B369-E7D9D0DC19DA}
Possession,Adult,2012,2012/01/09 02:45:00+00,"b""\xbc\xdd\xb1'^\xe5\x9e""",40,7D,702,402600,132000,,,B ,N ,F,Narcotics,Ucsa Possession Marijuana,ALABAMA / AINGER PL SE,398300,139300,MARIJUANA_ARRESTS_83,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12563,{879F8FC6-A8FA-411E-B9B1-D593C781097A}
Possession,Juvenile,2012,2012/01/08 05:00:00+00,,,7D,703,,,702,7D,,,,Narcotics,Ucsa Possession Marijuana,,,,MARIJUANA_ARRESTS_84,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12564,{48FCBB48-EA1A-4B78-8FD9-6E1E5032C37F}
Possession,Adult,2012,2012/01/09 15:30:00+00,b'\xfePHY\x0c\xbd\xea',25,1D,102,398400,136200,703,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF ALABAMA AVE SE,402600,131700,MARIJUANA_ARRESTS_85,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12565,{127CB349-8664-4C40-AB68-92D13E1FE18C}
Possession with intent to distribute,Adult,2012,2012/01/10 01:55:00+00,b'o\xc6\x0c\xd3Y\t\xe8',23,6D,602,405900,136900,608,6D,U,U ,M,Narcotics,Ucsa Pwid Marijuana,800 BLOCK OF 49TH ST NE,405900,136900,MARIJUANA_ARRESTS_86,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12566,{377B4D44-FB2B-4094-B623-B7268A7D2DC5}
Possession with intent to distribute,Adult,2012,2012/01/10 01:55:00+00,b'o\xc6\x0c\xd3Y\t\xe8',47,6D,602,405900,136900,608,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,800 BLOCK OF 49TH ST NE,405900,136900,MARIJUANA_ARRESTS_87,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12567,{AAAEA4E4-D357-4C37-906F-79D3586A041D}
Possession,Juvenile,2012,2012/01/09 05:00:00+00,,,7D,703,,,505,5D,,,,Narcotics,Ucsa Possession Marijuana,,,,MARIJUANA_ARRESTS_88,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12568,{8F0CD3CB-85E8-425C-A361-70E2B935F1E4}
Possession,Adult,2012,2012/01/10 13:55:00+00,b'>\x14z\x84\xcf\xaen',21,7D,701,402000,130300,101,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1900 BLOCK OF SOUTHERN AVE SE,402000,130300,MARIJUANA_ARRESTS_89,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12569,{719908EB-7EEC-40BB-8A59-962818FA2CC0}
Possession,Adult,2012,2012/01/10 21:36:00+00,b'\x07\x9a\xb1\x814jW',39,6D,602,406300,136500,705,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,500 BLOCK OF 51ST ST NE,,,MARIJUANA_ARRESTS_90,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12570,{A1217C9F-6B92-4442-AE7F-3890A66F1CAC}
Possession with intent to distribute,Adult,2012,2012/01/10 21:45:00+00,b'[\xb2\xc06Ixf',25,7D,704,401900,130700,704,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,3400 BLOCK OF STANTON RD SE,,,MARIJUANA_ARRESTS_91,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12571,{07998B84-87A2-4648-85EB-5D1450A5A31C}
Possession,Adult,2012,2012/01/10 21:55:00+00,b'>7\n\xb6\xa6&\xc5',65,5D,506,401700,137500,503,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1600 BLOCK OF MEIGS PL NE,401700,137500,MARIJUANA_ARRESTS_92,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12572,{E8981C1A-69BA-4586-8502-DAEDEE5FB401}
Possession,Adult,2012,2012/01/10 22:16:00+00,b'\xc3\x7f\xf87\x9c\xbfr',67,4D,403,397600,143000,108,1D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,ALLEY 5400 ILLINOS AVE NW,,,MARIJUANA_ARRESTS_93,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12573,{BB90D48A-CA63-46A2-A909-8CF1C75237F3}
Possession with intent to distribute,Adult,2012,2012/01/10 23:00:00+00,b'\xea\x1d\xdf\xb3\xce\xc7\xcb',21,6D,603,403800,135500,708,7D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,2400 BLOCK OF ELVANS RD SE,401200,131700,MARIJUANA_ARRESTS_94,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12574,{F9FF1E97-DDA1-4FB2-8F17-7D9FDEB7E5A0}
Possession with intent to distribute,Adult,2012,2012/01/11 00:45:00+00,b'\xa7+\x1ews\xb6M',18,6D,602,405900,137900,602,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,4900 BLOCK OF QUARLES ST NE,405900,137900,MARIJUANA_ARRESTS_95,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12575,{AE3E56E7-1B41-4B89-B890-B76D6FECDCB6}
Possession with intent to distribute,Adult,2012,2012/01/11 01:55:00+00,b'o\xc6\x0c\xd3Y\t\xe8',28,6D,602,405900,136900,,,W ,N ,M,Narcotics,Ucsa Pwid Marijuana,800 BLOCK OF 49TH ST NE,405900,136900,MARIJUANA_ARRESTS_96,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12576,{0B396388-76AA-4450-858F-FD34D6460F61}
Possession,Adult,2012,2012/01/11 02:30:00+00,b'\xf1t\xdd\xfe\x80\x01w',56,7D,705,400700,130700,101,1D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,10TH / ALABAMA AVE SE,,,MARIJUANA_ARRESTS_97,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12577,{2D28FE03-9694-4A89-8483-8FB433DDA17A}
Possession,Adult,2012,2012/01/11 02:50:00+00,b'\x8fR\xd8\xc0K\x1aO',30,5D,502,400400,139800,504,5D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,2800 BLOCK OF 7TH ST NE,,,MARIJUANA_ARRESTS_98,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12578,{46AD91A9-1360-4FCB-A32F-267E9EE31A40}
Possession,Juvenile,2012,2012/01/10 05:00:00+00,,,1D,105,,,105,1D,,,,Narcotics,Ucsa Possession Marijuana,,,,MARIJUANA_ARRESTS_99,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12579,{CEC0A50E-ADAA-462B-AD0E-C26954499051}
Possession with intent to distribute,Adult,2012,2012/01/11 16:20:00+00,"b',#<\xef\xbc\x9c2'",25,5D,502,399700,138000,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Pwid Marijuana,1500 BLOCK OF ECKINGTON PL NE,399700,138000,MARIJUANA_ARRESTS_100,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12580,{20B7BE33-1A1D-4BEB-A047-EF69C1511D81}
Possession,Adult,2012,2012/01/11 20:10:00+00,b'+h\xcd\xce\xf2\x92\x8f',29,2D,207,396400,137000,507,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1800 BLOCK OF I ST NE,402000,137100,MARIJUANA_ARRESTS_101,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12581,{87A7A356-2121-405F-8959-A6905EC545B2}
Possession,Adult,2012,2012/01/11 20:50:00+00,b'\xbb\x82R\x03b>\xae',31,1D,108,401400,136700,505,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,600 BLOCK OF 14TH PL NE,401400,136700,MARIJUANA_ARRESTS_102,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12582,{0C7768B8-3BBF-4C2B-BC41-F1BB7DAB3DC5}
Possession,Adult,2012,2012/01/11 20:57:00+00,"b""\xaa\xbff\xf8'\x81\x11""",35,6D,602,406100,136000,,,U,U ,M,Narcotics,Ucsa Possession Marijuana,50TH ST NE,406200,137300,MARIJUANA_ARRESTS_103,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12583,{C1CF07AD-EA61-4E15-928D-F5B85E8BDB2C}
Possession with intent to distribute,Adult,2012,2012/01/11 21:00:00+00,b'\x8bw\x90\xe9\x92\xb6\xbc',29,6D,602,404800,136800,,,U,U ,M,Narcotics,Ucsa Pwid Marijuana,4000 BLOCK OF GRANT ST NE,404800,136800,MARIJUANA_ARRESTS_104,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12584,{D510952B-F897-4B56-86E4-930F4E77FB2E}
Possession with intent to distribute,Adult,2012,2012/01/12 02:05:00+00,b'\x8d\xd1&\x87\xdc\xe0\xab',36,6D,602,405000,136500,406,4D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,4200 BLOCK OF EADS ST NE,405200,136400,MARIJUANA_ARRESTS_105,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12585,{241C80FF-4412-4EC4-A08E-DA63A928B63C}
Possession,Adult,2012,2012/01/12 02:07:00+00,b'\xc7\x9aV\x9b\xe0\x97\xbc',37,7D,706,400000,129500,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,XENIA ST SE,,,MARIJUANA_ARRESTS_106,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12586,{FD75FAE1-3092-4842-AC6F-E4051A56E1C9}
Possession,Adult,2012,2012/01/12 02:45:00+00,b'\x86\xbb\x05\x88\xa3w\xb6',23,1D,105,399000,133700,105,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1500 BLOCK OF 1ST ST SW,399000,133700,MARIJUANA_ARRESTS_107,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12587,{9D8D6401-7FF6-407D-BAE9-1963FE151717}
Distribution,Juvenile,2012,2012/01/11 05:00:00+00,,,1D,102,,,101,1D,,,,Narcotics,Ucsa Distributing Marijuana,,,,MARIJUANA_ARRESTS_108,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12588,{9F5A2570-9431-4284-B2EC-35C52902D813}
Possession,Adult,2012,2012/01/12 07:45:00+00,b'5sj\x18\xd4=@',23,5D,503,402400,138800,Out of State,Out of State,W ,N ,F,Narcotics,Ucsa Possession Marijuana,NEW YORK AVE NE,399200,137700,MARIJUANA_ARRESTS_109,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12589,{CE5278E8-B8D6-4E15-8048-901473CDAA43}
Possession with intent to distribute,Adult,2012,2012/01/12 17:37:00+00,b'cZ\xf6y\x1d\x890',25,4D,402,398300,144500,402,4D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,UNDERWOOD ST NW,397300,144600,MARIJUANA_ARRESTS_110,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12590,{20714779-2136-4969-91BC-8118F0D939D3}
Distribution,Adult,2012,2012/01/12 21:17:00+00,b'\xb6\x1da\xf5}\x04\x04',20,6D,601,405600,138200,601,6D,B ,N ,M,Narcotics,Ucsa Distributing Marijuana,1600 BLOCK OF KENILWORTH AVE NE,405600,138200,MARIJUANA_ARRESTS_111,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12591,{E90CE036-5CFA-4F68-9ABF-8013BF899B21}
Possession,Adult,2012,2012/01/12 21:24:00+00,b'H\xe7\xaa\x0c\xaeW\xaf',27,6D,601,405500,138300,706,7D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,4500 BLOCK OF QUARLES ST NE,405500,138300,MARIJUANA_ARRESTS_112,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12592,{668DB48A-B8FE-4810-8298-EBE1F728832A}
Possession,Adult,2012,2012/01/12 21:30:00+00,b'\x10T~Nm\x13\xdf',49,4D,409,397200,140700,101,1D,U,H ,M,Narcotics,Ucsa Possession Marijuana,3500 BLOCK OF 14TH ST NW,397100,140700,MARIJUANA_ARRESTS_113,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12593,{A6C80C60-A2F8-4AC1-AFE1-77711194DB94}
Possession,Adult,2012,2012/01/12 22:21:00+00,b'\xa0\x8b\xdd\xaa\n\x0b\xd7',31,6D,608,406700,136000,608,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,200 BLOCK OF 55TH ST NE,406700,136000,MARIJUANA_ARRESTS_114,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12594,{7BDAE4AE-8563-443F-A472-94953D7F90FB}
Possession with intent to distribute,Adult,2012,2012/01/13 00:00:00+00,b'\xa3J\xe9$\xbc\x9b\xcb',20,7D,704,401700,131100,601,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,3200 BLOCK OF STANTON RD SE,401700,131100,MARIJUANA_ARRESTS_115,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12595,{0D0A3830-53A9-408A-883F-47EBB199E4C6}
Possession with intent to distribute,Adult,2012,2012/01/13 00:00:00+00,b'\xa3J\xe9$\xbc\x9b\xcb',35,7D,704,401700,131100,604,6D,B ,U ,F,Narcotics,Ucsa Pwid Marijuana,3200 BLOCK OF STANTON RD SE,401700,131100,MARIJUANA_ARRESTS_116,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12596,{29D7EE7B-330A-4F8E-A555-5160C3F60F81}
Possession with intent to distribute,Adult,2012,2012/01/13 00:00:00+00,b'\xa3J\xe9$\xbc\x9b\xcb',41,7D,704,401700,131100,604,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,3200 BLOCK OF STANTON RD SE,401700,131100,MARIJUANA_ARRESTS_117,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12597,{D73408A1-3399-4625-BF73-50144C9F242C}
Distribution,Adult,2012,2012/01/13 00:29:00+00,b'\x17\x9cj[q\x1fh',45,7D,702,403000,131500,108,1D,B ,U ,M,Narcotics,Ucsa Distributing Marijuana,3100 BLOCK OF BUENA VISTA TER SE,403000,131400,MARIJUANA_ARRESTS_118,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12598,{B5AAC561-C44A-4082-8ECB-68651A4C25F7}
Possession,Adult,2012,2012/01/13 00:50:00+00,b'\xd9<F\x10\xb3\x8a\xcb',29,5D,505,401000,139400,601,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,SARATOGA AVE NE,,,MARIJUANA_ARRESTS_119,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12599,{90B4C686-0FCF-4994-9435-8A09772AFA06}
Possession,Adult,2012,2012/01/13 01:15:00+00,b'T\xf1\xc8\x8dC\xa5_',25,5D,507,402100,136900,108,1D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,800 BLOCK OF 20TH ST NE,402100,136900,MARIJUANA_ARRESTS_120,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12600,{63C7004D-377C-44AC-8762-D9106D62E164}
Possession,Adult,2012,2012/01/13 01:30:00+00,b'\xf22^\xdcN\xb7\x99',43,1D,102,398600,137200,,,B ,N ,M,Narcotics,Ucsa Possession Marijuana,4TH ST NW,398900,136800,MARIJUANA_ARRESTS_121,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12601,{24BC4933-F131-47B0-8337-F510CBDF2974}
Possession,Adult,2012,2012/01/13 01:30:00+00,b'\xc4\xa9\xa5x~2\xac',43,3D,308,398100,137800,308,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF 7TH ST NW,398100,137800,MARIJUANA_ARRESTS_122,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12602,{43DEFAF8-4043-4919-8A1D-EF6E9A798964}
Possession,Adult,2012,2012/01/13 01:50:00+00,b'\x9avr\x85\x0f\xb8\x7f',35,2D,207,396800,137300,506,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,16TH ST NE,401500,140700,MARIJUANA_ARRESTS_123,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12603,{B5B8AAEE-30B0-4E85-877F-BD1EA59E3A53}
Possession,Adult,2012,2012/01/13 21:05:00+00,"b'pw""\xf2\xc8\x89\xb5'",24,6D,601,404600,137300,703,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3700 BLOCK OF JAY ST NE,,,MARIJUANA_ARRESTS_124,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12604,{EE937643-8A92-4D94-AD67-C9B474FB76A3}
Possession,Adult,2012,2012/01/13 21:10:00+00,b'\xafg\xf6\xfc\xf4Xo',32,3D,301,397100,139000,,,B ,U ,M,Narcotics,Ucsa Possession Marijuana,1400 BLOCK OF W ST NW,397100,139000,MARIJUANA_ARRESTS_125,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12605,{0490BC01-F444-4BDB-B94B-34BB286040F0}
Possession,Adult,2012,2012/01/13 22:15:00+00,"b'\x83j;\x19\xe2UE'",22,6D,603,404300,136300,603,6D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,3900 BLOCK OF MINNESOTA AVE NE,404300,136300,MARIJUANA_ARRESTS_126,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12606,{2A472B27-A4CA-477C-8626-89785D8FF700}
Possession,Adult,2012,2012/01/13 22:40:00+00,b'\x8d\xcc\x85-\x93}\xbc',28,7D,703,401300,131700,103,1D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF ELVANS RD SE,401300,131700,MARIJUANA_ARRESTS_127,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12607,{4887082D-FB4D-4A7D-B126-E3020176C98D}
Possession,Adult,2012,2012/01/13 22:40:00+00,b'\xf20\xee\xec\x97Yj',46,1D,103,398800,136500,501,5D,B ,U ,F,Narcotics,Ucsa Possession Marijuana,E ST NW,398700,136500,MARIJUANA_ARRESTS_128,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12608,{C2C187F7-94D6-4693-967F-A58A8E1BDF66}
Possession,Adult,2012,2012/01/13 22:40:00+00,b'\xf20\xee\xec\x97Yj',47,1D,103,398800,136500,103,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,100 BLOCK OF E ST NW,398800,136500,MARIJUANA_ARRESTS_129,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12609,{23D2568B-39B5-4EB4-B50A-714AEB5A908A}
Possession,Adult,2012,2012/01/13 23:05:00+00,"b""!\xe7'yT\xd8h""",23,4D,403,397600,142700,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Possession Marijuana,5100 BLOCK OF GEORGIA AVE NW,,,MARIJUANA_ARRESTS_130,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12610,{9C17520C-5978-4E1D-AF15-746313718B2B}
Possession,Adult,2012,2012/01/13 23:05:00+00,"b""!\xe7'yT\xd8h""",24,4D,403,397600,142700,,,B ,N ,M,Narcotics,Ucsa Possession Marijuana,5100 BLOCK OF GEORGIA AVE NW,,,MARIJUANA_ARRESTS_131,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12611,{82E76779-F532-46C3-80BB-CC8D109CDFB9}
Possession,Adult,2012,2012/01/14 00:00:00+00,b'\\\x94o\x10=\t(',36,3D,305,397400,138800,608,6D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF U ST NW,397400,138800,MARIJUANA_ARRESTS_132,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12612,{87DCBF28-58A5-47C7-84A5-DD3D92BC055B}
